fid,OBJECTID,DISTRICT,LEGAL_DESC,AVGAGE,UTMX,UTMY,Acres,Owner,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Burned,layer,path,Site_ID,treatment,Srvy_13_19,Srvy_23,Srvy_24
32,72708,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,11084,BS,0,0,1
37,2912,Snowpeak,11S-01E-11,52,527457,4942190,61.272,WY,1,0,0,1,0,1,1,2020,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20550,HU,1,0,1
44,10026,Clackamas,05S-04E-32,59,551516,4992630,114.826,WY,0,0,0,1,0,1,1,2015,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,10597,HB,1,1,1
53,0,Clackamas,06S-02E-05,84,532072,4991920,39.4433,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,12213,UU,1,1,1
54,18469,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10078,HB,0,1,1
58,12638,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10422,BS,0,1,1
62,0,Clackamas,05S-04E-20,66,551576,4996170,88.3602,WY,1,0,0,1,0,1,1,2020,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,10153,BS,1,1,1
74,0,Clackamas,04S-04E-26,57,556360,5005250,52.0473,PBTF,1,0,0,0,0,1,1,2015,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,33628,HB,1,1,1
75,12067,Clackamas,"06S-03E-35,36",52,547487,4983790,70.5487,WY,1,0,0,1,0,1,1,2014,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,10399,HU,1,1,1
78,3193,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10403,BS,0,1,1
85,0,Snowpeak,12S-02E-04,67,534331,4932990,104.31,WY,1,0,0,1,0,0,1,2018,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20053,HU,1,1,1
